order_id,order_date,region,country,customer_id,product_id,category,sub_category,quantity,unit_price,discount,profit
1001,2025-01-01,North,India,C001,P001,Electronics,Mobile,2,15000,0.05,1200
1002,2025-01-01,South,India,C002,P002,Electronics,Laptop,1,55000,0.10,6000
1003,2025-01-02,East,India,C003,P003,Furniture,Chair,4,3000,0.00,800
1004,2025-01-02,West,India,C004,P004,Furniture,Table,1,12000,0.15,1500
1005,2025-01-03,North,India,C005,P005,Office Supplies,Paper,10,50,0.00,200
1006,2025-01-03,South,India,C006,P006,Office Supplies,Pen,20,20,0.05,150
1007,2025-01-04,East,India,C007,P007,Electronics,Headphones,3,2000,0.10,900
1008,2025-01-04,West,India,C008,P008,Electronics,Monitor,2,10000,0.00,2500
1009,2025-01-05,North,India,C009,P009,Furniture,Sofa,1,35000,0.20,4000
1010,2025-01-05,South,India,C010,P010,Office Supplies,Stapler,5,150,0.00,250
1011,2025-01-06,East,India,C011,P011,Electronics,Laptop,1,65000,0.05,8000
1012,2025-01-06,West,India,C012,P012,Furniture,Chair,6,2800,0.10,900
1013,2025-01-07,North,India,C013,P013,Electronics,Mobile,3,18000,0.00,3500
1014,2025-01-07,South,India,C014,P014,Office Supplies,Notebook,15,80,0.05,300
1015,2025-01-08,East,India,C015,P015,Electronics,Tablet,2,22000,0.10,2500
1016,2025-01-08,West,India,C016,P016,Furniture,Table,1,15000,0.05,1800
1017,2025-01-09,North,India,C017,P017,Office Supplies,Paper,25,45,0.00,450
1018,2025-01-09,South,India,C018,P018,Electronics,Headphones,4,2500,0.15,1000
1019,2025-01-10,East,India,C019,P019,Electronics,Mobile,1,20000,0.00,2200
1020,2025-01-10,West,India,C020,P020,Furniture,Desk,1,18000,0.10,2100
